sale_id,date,product_name,price,quantity
15000,2026-02-13,  macbook air ,$599.00,4.0
15001,2026-02-25,  macbook air ,999.99,3.0
15002,2026-02-02,AirPods Pro,$25.00,4.0
15003,02-14-2026,MacBook Pro,999.99$,3.0
15004,02-01-2026,  iPad Air ,$599.00,2.0
15005,2026-02-19,iPad Air,599$,4.0
15006,2026/02/27 04:00,AirPods Pro,599$,4.0
15007,2026-02-13,MacBook Air,65 USD,3.0
15008,10/02/2026,MacBook Air,599$,3.0
15009,2026-02-10,iPad Air,$999.99,2.0
15010,01-31-2026,MacBook Air,65,5.0
15011,2026-02-02,MacBook Air,"$1,100.00",1.0
15012,14/02/2026,iphone 15 pro,$25.00,1.0
15013,27/02/2026,MacBook Air,65 USD,2.0
15014,22/02/2026,MacBook Pro,25 USD,2.0
15015,03/02/2026, iPhone 15 Pro ,1100 USD,1.0
15016,02-17-2026,iphone 15 pro,249 USD,2.0
15017,02-27-2026,  macbook air ,249,2.0
15018,2026/02/23 01:00,Powerbank 65W,1100$,1.0
15019,2026-02-28,Powerbank 65W,1999,5.0
15020,2026-02-22, iPhone 15 Pro ,249 USD,1.0
15021,2026-02-22,MacBook Air,599$,3.0
15022,2026-01-31,iPad Air,25$,4.0
15023,2026/02/10 18:00, iPhone 15 Pro ,,1.0
15024,2026/02/13 01:00,AirPods Pro,25,3.0
15025,2026/02/19 09:00,iPad Air,999.99,3.0
15026,2026/02/26 19:00, iPhone 15 Pro ,1100$,1.0
15027,24/02/2026,iphone 15 pro,599,2.0
15028,2026-02-12,iPad Air,1100,1.0
15028,2026-02-16,MacBook Pro,999.99,5.0
15030,19/02/2026,Wi-Fi Adapter,65$,5.0
15031,2026/02/11 09:00,  macbook air ,1100,1.0
15032,20/02/2026,Wi-Fi Adapter,$25.00,3.0
15033,07/02/2026,iPad Air,$65.00,1.0
15034,02-14-2026,MacBook Air,$599.00,1.0
15035,07/02/2026,iphone 15 pro,999.99 USD,3.0
15036,2026/02/26 12:00,Powerbank 65W,599,3.0
15037,2026/02/19 09:00,MacBook Pro,999.99,2.0
15038,2026/02/19 19:00,MacBook Air,1999$,5.0
15039,02-16-2026,iphone 15 pro,$25.00,2.0
15040,2026-02-23,iPad Air,65$,4.0
15041,2026/02/21 11:00,Powerbank 65W,$599.00,3.0
15042,2026/02/09 23:00,Wi-Fi Adapter,249 USD,3.0
15043,2026-02-21,  macbook air ,1999,5.0
15044,2026/02/22 09:00, iPhone 15 Pro ,599,4.0
15045,2026/02/03 20:00,MacBook Pro,65$,1.0
15046,2026/02/20 11:00,Powerbank 65W,1100,5.0
15047,2026-02-15,  macbook air ,25 USD,3.0
15048,08/02/2026,  iPad Air ,25,3.0
15049,02-04-2026,iphone 15 pro,$65.00,2.0
15050,31/01/2026,Wi-Fi Adapter,1100$,3.0
15051,2026/02/18 11:00,Powerbank 65W,$599.00,5.0
15052,02-03-2026,MacBook Pro,25,4.0
15053,02-08-2026,  iPad Air ,65,1.0
15054,02-23-2026,AirPods Pro,1999$,5.0
15055,2026-02-17,Wi-Fi Adapter,25$,5.0
15056,23/02/2026,AirPods Pro,65$,2.0
15057,2026/02/12 07:00,MacBook Pro,1999$,3.0
15058,28/02/2026,AirPods Pro,999.99 USD,2.0
15059,22/02/2026, iPhone 15 Pro ,599,2.0
15060,08/02/2026,MacBook Pro,1999 USD,5.0
15061,21/02/2026,MacBook Air,599$,1.0
15062,2026-02-18,Wi-Fi Adapter,1999 USD,3.0
15063,02-05-2026,Wi-Fi Adapter,65$,4.0
15064,11/02/2026,  macbook air ,999.99 USD,5.0
15065,2026-02-19, iPhone 15 Pro ,,5.0
15066,2026/02/24 09:00,MacBook Air,25$,1.0
15067,05/02/2026,  iPad Air ,$999.99,1.0
15068,2026/02/14 12:00,Powerbank 65W,"$1,100.00",3.0
15069,2026-02-12,iPad Air,1999 USD,1.0
15070,26/02/2026,,"$1,999.00",4.0
15071,2026/02/02 05:00,iPad Air,1999,4.0
15072,19/02/2026,AirPods Pro,25 USD,5.0
15073,02-04-2026, iPhone 15 Pro ,999.99$,1.0
15074,02-17-2026,AirPods Pro,249 USD,1.0
15075,02-26-2026,  macbook air ,$999.99,1.0
15076,2026-02-07,iphone 15 pro,"$1,100.00",1.0
15077,02-02-2026,iPad Air,$65.00,2.0
15078,2026-02-14,iPad Air,249$,4.0
15079,2026/02/04 01:00, iPhone 15 Pro ,65$,3.0
15080,2026-02-20,MacBook Pro,25 USD,4.0
15081,02-02-2026,  iPad Air ,$65.00,5.0
15082,2026/02/18 03:00, iPhone 15 Pro ,1999,2.0
15083,2026/02/04 12:00,MacBook Air,1999,5.0
15084,2026/02/07 21:00,  iPad Air ,1999$,2.0
15085,02-24-2026,iPad Air,599,2.0
15086,02-27-2026, iPhone 15 Pro ,1100,4.0
15087,2026/02/10 10:00,MacBook Pro,25,4.0
15088,02-04-2026,iPad Air,65 USD,4.0
15089,02-09-2026,Wi-Fi Adapter,249$,
15090,02-01-2026,MacBook Pro,999.99 USD,2.0
15091,23/02/2026,,"$1,999.00",2.0
15092,26/02/2026,Wi-Fi Adapter,249$,4.0
15093,2026-02-20,  iPad Air ,1999 USD,2.0
15094,2026-02-18,Wi-Fi Adapter,1100,
15095,02-10-2026,  macbook air ,1999,
15096,2026/02/20 16:00,iPad Air,$999.99,4.0
15097,13/02/2026,,$999.99,1.0
15098,02-18-2026,iphone 15 pro,65,5.0
15099,02-17-2026,MacBook Air,$999.99,2.0
15100,31/01/2026,Wi-Fi Adapter,65,5.0
15101,2026-02-13,MacBook Pro,,2.0
15102,2026-02-04,  macbook air ,599,
15103,2026-02-15, iPhone 15 Pro ,999.99 USD,5.0
15104,2026-02-04,Powerbank 65W,$249.00,1.0
15105,2026/02/24 23:00,AirPods Pro,999.99$,1.0
15106,2026/02/27 11:00, iPhone 15 Pro ,1100,2.0
15107,02-02-2026, iPhone 15 Pro ,249$,5.0
15108,2026/02/07 21:00,Powerbank 65W,1100$,3.0
15109,2026-02-15,  macbook air ,999.99 USD,5.0
15110,2026-02-07,iPad Air,$249.00,2.0
15111,02-05-2026,,1999$,4.0
15112,2026/02/26 21:00,iPad Air,$599.00,1.0
15113,2026/02/10 01:00,  iPad Air ,65 USD,2.0
15114,2026-02-20,Powerbank 65W,1100 USD,5.0
15115,02-08-2026,iphone 15 pro,1100,
15116,2026/02/28 22:00,MacBook Pro,$599.00,4.0
15117,02-03-2026,AirPods Pro,249,3.0
15118,03/02/2026, iPhone 15 Pro ,249$,2.0
15119,2026-02-22, iPhone 15 Pro ,1999$,2.0
15120,02-12-2026,Wi-Fi Adapter,599,4.0
15121,19/02/2026,MacBook Air,999.99$,1.0
15122,2026/02/20 19:00, iPhone 15 Pro ,$249.00,2.0
15123,05/02/2026,iphone 15 pro,25 USD,1.0
15124,2026-02-01,iPad Air,599,4.0
15125,02-23-2026,Powerbank 65W,65,5.0
15126,02-11-2026,MacBook Air,"$1,999.00",5.0
15127,2026-02-12, iPhone 15 Pro ,999.99$,5.0
15128,02-28-2026, iPhone 15 Pro ,249 USD,5.0
15129,02-24-2026,,1100 USD,4.0
15130,05/02/2026, iPhone 15 Pro ,$249.00,
15131,02-13-2026,MacBook Pro,249$,5.0
15132,2026-02-24,iphone 15 pro,25,5.0
15133,2026/02/20 11:00,iphone 15 pro,249$,2.0
15134,2026/02/14 01:00,MacBook Air,25$,1.0
15135,01/02/2026,Powerbank 65W,999.99$,5.0
15136,01/02/2026,MacBook Pro,1100,3.0
15137,14/02/2026,Wi-Fi Adapter,"$1,999.00",4.0
15138,2026/01/31 12:00,iphone 15 pro,1999 USD,2.0
15139,2026-02-21,  macbook air ,1100 USD,5.0
15139,2026-02-08, iPhone 15 Pro ,,1.0
15141,02-27-2026,AirPods Pro,999.99,3.0
15142,2026-02-18, iPhone 15 Pro ,999.99$,4.0
15143,02-09-2026, iPhone 15 Pro ,,5.0
15144,2026-02-10,iPad Air,65 USD,4.0
15145,27/02/2026,  macbook air ,$999.99,4.0
15146,02-13-2026,MacBook Air,1999,4.0
15147,02-04-2026,Powerbank 65W,1999,
15148,2026/02/01 21:00,  macbook air ,"$1,100.00",1.0
15149,10/02/2026,MacBook Pro,$65.00,4.0
